ParkCode,SiteName,SiteCode,Description
ACAD,Aunt Betty Pond Inlet,NETN_ACAD_ABIN,The inlet flows north from Gilmore Meadow into Aunt Betty Pond. Cumulative watershed area: 612.88 acres (2.48 km<sup>2</sup>)
ACAD,Aunt Bettys Pond,NETN_ACAD_ANTB,Marshy pond with an area of 31.5 acres. Inlet: Aunt Betty Inlet. Outlet: Richardson Brook.  Avg. depth 3 ft (0.9 m); Max. depth 7 ft (2.1 m)
ACAD,Bear Brook Pond,NETN_ACAD_BRBK,"Mesotrophic, unstratified beaver pond with an area of 7.5 acres. Its inlet and outlet is Bear Brook. Max. depth 13 ft (3.9 m)"
ACAD,Breakneck Brook,NETN_ACAD_BRKB,The stream flows north from the Breakneck Ponds and into the ocean (Hulls Cove). Cumulative watershed area: 921.54 acres (3.73 km<sup>2</sup>)
ACAD,Browns Brook,NETN_ACAD_BRWN,The stream flows northwest from Parkman Mountain into the ocean (Somes Sound). Cumulative watershed area: 292.58 acres (1.18 km<sup>2</sup>)
ACAD,Bubble Pond,NETN_ACAD_BUBL,"Oligotrophic, stratified lake with an area of 33 acres. Part of the public water supply. Inlet: unnamed stream on southern end. Outlet: Bubble Brook. Avg. depth 21 ft (6.4 m); Max. depth 39 ft (11.9 m)"
ACAD,Cadillac Stream,NETN_ACAD_CADS,High-elevation stream flows south on the east face of Cadillac mountain into Canon Brook. Former site of USGS stream gage 01022835 (1999- 2006).  Cumulative watershed area: 153.78 acres (0.62 km<sup>2</sup>)
ACAD,Duck Brook,NETN_ACAD_DUCK,"The stream flows north from Eagle Lake into the ocean (Paradise Hill). Site is located north of Rt. 233 crossing, approx. 200 ft. DS of culvert. Site established in 2009 to replace ACEGLO. Cumulative watershed area: 2378.76 acres (9.63 km<sup>2</sup>)"
ACAD,Duck Brook (Eagle L. Outlet),NETN_ACAD_DUCK,"The stream flows north from Eagle Lake into the ocean (Paradise Hill). Site located at Eagle Lake Dam, next to pumphouse. Monitoring at site discontinued in 2009, replaced by ACDUCK. Cumulative watershed area: 2357.66 acres (9.54 km<sup>2</sup>)"
ACAD,Duck Pond Brook,NETN_ACAD_DKLI,The stream flows north from Duck Pond into Long Pond (MDI). Cumulative watershed area: 119.08 acres (0.48 km<sup>2</sup>)
